id,edge_id,s_id,e_id,direction,class,attribute,width,length,speed_limit,line_string
57367,294090,288965,20000670988,1,0x03,0x01,11,40,30,"LINESTRING (116.45893 39.83297, 116.45894 39.83318, 116.45895 39.83333)"
57368,-294090,20000670988,288965,1,0x03,0x01,11,40,30,"LINESTRING (116.45895 39.83333, 116.45894 39.83318, 116.45893 39.83297)"
66715,302230,304616,20000671007,3,0x03,0x0a,7,199,50,"LINESTRING (116.45928 39.83301, 116.46023 39.83314, 116.46052 39.83319, 116.46157 39.83333)"
66716,302231,288965,304616,3,0x03,0x0a,11,30,50,"LINESTRING (116.45893 39.83297, 116.45928 39.83301)"
66717,302232,20000671008,288963,3,0x03,0x0a,7,85,50,"LINESTRING (116.45684 39.83333, 116.45586 39.83322)"
67800,302942,302938,20000670997,2,0x01,0x02,15,137,80,"LINESTRING (116.45865 39.83315, 116.45894 39.83318, 116.45916 39.83321, 116.45929 39.83322, 116.46024 39.83333)"
72532,306191,20000671019,304616,3,0x03,0x16,7,36,50,"LINESTRING (116.45929 39.83333, 116.45929 39.83322, 116.45928 39.83301)"
74577,307933,302629,20000545801,2,0x01,0x02,15,64,80,"LINESTRING (116.28867 39.83284, 116.2885 39.83303, 116.28833 39.83324, 116.28827 39.83333)"
75455,308689,20000671015,307119,3,0x01,0x02,15,12,80,"LINESTRING (116.45879 39.83333, 116.45865 39.8333)"
81455,314024,309504,288965,3,0x03,0x0a,11,27,50,"LINESTRING (116.45862 39.83294, 116.45893 39.83297)"
81456,314025,309504,20000671034,3,0x03,0x16,7,43,50,"LINESTRING (116.45862 39.83294, 116.45861 39.83314, 116.45861 39.8333, 116.45861 39.83333)"
102151,330898,307119,306431,3,0x01,0x02,15,203,80,"LINESTRING (116.45865 39.8333, 116.45861 39.8333, 116.4563 39.83305)"
102161,330912,306453,302938,2,0x01,0x02,15,78,80,"LINESTRING (116.45775 39.83304, 116.45861 39.83314, 116.45865 39.83315)"
102594,331323,20000685999,308104,3,0x01,0x03,7,89,50,"LINESTRING (116.42101 39.83333, 116.42074 39.8331, 116.42069 39.83306, 116.4206 39.83301, 116.42053 39.83296, 116.42022 39.83282)"
102595,331324,303155,20047066970,2,0x03,0x0a,11,152,50,"LINESTRING (116.42285 39.83288, 116.42271 39.83291, 116.42253 39.83294, 116.42231 39.83298, 116.42218 39.83301, 116.42207 39.83304, 116.42194 39.83308, 116.42186 39.8331, 116.42172 39.83315, 116.42158 39.83321, 116.42148 39.83324, 116.42137 39.83328, 116.42118 39.83333)"
102596,331325,308109,303155,2,0x03,0x04,11,12,50,"LINESTRING (116.42299 39.83286, 116.42285 39.83288)"
102597,331327,20000685993,303155,2,0x03,0x0a,11,50,60,"LINESTRING (116.42283 39.83333, 116.42285 39.83288)"
102598,331328,20000686011,308112,3,0x01,0x02,11,20,80,"LINESTRING (116.42337 39.83333, 116.42341 39.83315)"
102599,331329,20000685995,308112,3,0x01,0x03,7,24,30,"LINESTRING (116.42326 39.83333, 116.42341 39.83315)"
103159,331674,308166,308104,3,0x01,0x03,7,67,50,"LINESTRING (116.42096 39.83302, 116.42092 39.833, 116.4208 39.83297, 116.42022 39.83282)"
103160,331675,20000685996,308166,3,0x01,0x03,7,69,50,"LINESTRING (116.42166 39.83333, 116.42148 39.83324, 116.42141 39.8332, 116.42131 39.83316, 116.4212 39.8331, 116.4211 39.83307, 116.42102 39.83304, 116.42096 39.83302)"
103726,332034,308960,20000686057,2,0x01,0x02,15,18,80,"LINESTRING (116.4236 39.83317, 116.42357 39.83333)"
104218,332368,303085,309504,3,0x03,0x0a,11,86,50,"LINESTRING (116.45762 39.83283, 116.45862 39.83294)"
104443,332510,20000663493,308109,2,0x03,0x0a,11,148,50,"LINESTRING (116.42457 39.83333, 116.42436 39.83324, 116.42407 39.8331, 116.42399 39.83305, 116.42388 39.833, 116.42377 39.83296, 116.42365 39.83293, 116.42356 39.83291, 116.42347 39.83289, 116.42343 39.83288, 116.42335 39.83287, 116.42322 39.83286, 116.4231 39.83286, 116.42299 39.83286)"
105062,332903,310596,310598,3,0x01,0x05,7,76,50,"LINESTRING (116.45573 39.83298, 116.45485 39.83307)"
105064,332905,310596,303933,3,0x01,0x02,15,63,80,"LINESTRING (116.45573 39.83298, 116.455 39.8329)"
105065,332906,306431,310596,3,0x01,0x02,15,49,80,"LINESTRING (116.4563 39.83305, 116.45573 39.83298)"
105066,332907,310598,299070,3,0x03,0x0a,7,27,50,"LINESTRING (116.45485 39.83307, 116.45454 39.83303)"
105067,332908,288963,310598,3,0x03,0x0a,7,88,50,"LINESTRING (116.45586 39.83322, 116.45485 39.83307)"
106950,334464,299209,306453,2,0x01,0x02,15,172,80,"LINESTRING (116.45576 39.83282, 116.45651 39.8329, 116.45775 39.83304)"
111761,338891,20000546513,322293,2,0x01,0x02,15,41,80,"LINESTRING (116.28802 39.83333, 116.28816 39.83314, 116.28827 39.83301)"
111762,338892,322293,302597,2,0x01,0x02,15,23,80,"LINESTRING (116.28827 39.83301, 116.28833 39.83293, 116.28841 39.83283)"
122531,349434,525883,530223,3,0x03,0x0a,11,8,60,"LINESTRING (116.35804 39.98678, 116.35813 39.98678)"
122861,349797,527556,530277,2,0x03,0x0a,11,96,50,"LINESTRING (116.33819 39.96779, 116.33707 39.96777)"
122862,349799,530278,527557,2,0x03,0x0a,11,53,50,"LINESTRING (116.33565 39.96775, 116.33503 39.96774)"
122867,349807,527609,530283,3,0x03,0x0a,7,29,40,"LINESTRING (116.35371 39.98026, 116.35371 39.98)"
122872,349816,527603,530287,2,0x03,0x0a,11,46,60,"LINESTRING (116.35364 39.977, 116.35359 39.97689, 116.35352 39.97677, 116.35343 39.97662)"
122883,349833,530309,527596,3,0x01,0x0c,11,149,70,"LINESTRING (116.35314 39.97178, 116.35321 39.97044)"
122884,349834,530305,530309,2,0x01,0x05,7,39,40,"LINESTRING (116.35299 39.97211, 116.35314 39.97178)"
122926,349887,531109,534120,3,0x01,0x02,15,109,80,"LINESTRING (116.36225 39.96766, 116.36353 39.96766)"
122927,349889,536177,531109,3,0x01,0x02,11,38,80,"LINESTRING (116.36181 39.96766, 116.36225 39.96766)"
122928,349891,530113,531112,2,0x03,0x0a,11,43,50,"LINESTRING (116.36097 39.96751, 116.36147 39.9675)"
122929,349893,531112,531109,3,0x01,0x05,7,69,50,"LINESTRING (116.36147 39.9675, 116.36225 39.96766)"
123282,350183,531114,529214,3,0x01,0x02,11,37,80,"LINESTRING (116.36226 39.96785, 116.36183 39.96784)"
123283,350185,536124,531114,3,0x01,0x02,11,104,80,"LINESTRING (116.36348 39.96784, 116.36226 39.96785)"
123322,350229,525715,531146,2,0x03,0x0a,15,44,50,"LINESTRING (116.37084 39.96813, 116.37033 39.96812)"
123913,351004,531895,537705,3,0x03,0x0a,15,77,60,"LINESTRING (116.30879 39.95758, 116.30891 39.95689)"
